source,target,rate
ADA,ETH,9.01e-05
ETH,ADA,11087.70373655616
ADA,USDC,0.150618
USDC,ADA,6.63165154650114
ADA,USDT,0.150814
USDT,ADA,6.624885720721318
ADA,BTC,2.405e-06
BTC,ADA,415282.3920265781
ALGO,ETH,5.474e-05
ETH,ALGO,17992.08348326736
ALGO,USDC,0.09213
USDC,ALGO,10.834236186348864
ALGO,USDT,0.09226
USDT,ALGO,10.829542993285683
ALGO,BTC,1.468e-06
BTC,ALGO,675675.6756756756
ATOM,ETH,0.001013
ETH,ATOM,984.2519685039371
ATOM,USDC,1.6973
USDC,ATOM,0.5882006940768191
ATOM,USDT,1.6952
USDT,ATOM,0.5858917272088118
ATOM,BTC,2.707e-05
BTC,ATOM,36873.15634218289
AVAX,USDC,6.412
USDC,AVAX,0.1558117793705204
AVAX,USDT,6.419
USDT,AVAX,0.1557389814670612
BCH,ETH,0.11535
ETH,BCH,8.543357539513028
BCH,USDC,194.23
USDC,BCH,0.005135843048636434
BCH,USDT,194.52
USDT,BCH,0.005131889561736631
BCH,BTC,0.003083
BTC,BCH,319.79533098816756
BNB,USDC,577.6
USDC,BNB,0.001730343300110742
BNB,USDT,577.73
USDT,BNB,0.001728608470181504
DOT,ETH,0.0005405
ETH,DOT,1837.5597206909224
DOT,USDC,0.9047
USDC,DOT,1.1037527593818983
DOT,USDT,0.9055
USDT,DOT,1.1031439602868174
DOT,BTC,1.4438e-05
BTC,DOT,69156.29322268326
ETH,USDC,1672.05
USDC,ETH,0.0005978858755440762
ETH,USDT,1673.96
USDT,ETH,0.0005973787022545072
ETH,BTC,0.026695
BTC,ETH,37.45318352059925
LINK,ETH,0.00455003
ETH,LINK,219.53414853680488
LINK,USDC,7.6123
USDC,LINK,0.13122085256812333
LINK,USDT,7.61923
USDT,LINK,0.1311545932305868
LINK,BTC,0.00012131
BTC,LINK,8220.304151253597
LTC,ETH,0.02509
ETH,LTC,39.79307600477517
LTC,USDC,41.989
USDC,LTC,0.02376821239274594
LTC,USDT,42.04316
USDT,LTC,0.023777079418536278
LTC,BTC,0.00067
BTC,LTC,1490.3129657228017
SOL,ETH,0.041565
ETH,SOL,24.05118091298283
SOL,USDC,69.5
USDC,SOL,0.014384349827387804
SOL,USDT,69.57
USDT,SOL,0.01436988072998994
SOL,BTC,0.0011095
BTC,SOL,900.9820704567978
UNI,ETH,0.0017232
ETH,UNI,574.6135723725795
UNI,BTC,4.601e-05
BTC,UNI,21450.02145002145
USDC,USDT,1.001
USDT,USDC,0.9989012086704624
VET,USDC,0.004665
USDC,VET,213.903743315508
VET,USDT,0.004669
USDT,VET,213.72088053002778
BTC,USDC,62640.59
USDC,BTC,1.5962219342283137e-05
BTC,USDT,62701.7
USDT,BTC,1.5948505465552823e-05
XLM,BTC,3.051e-06
BTC,XLM,324464.6333549643
XRP,ETH,0.0006573
ETH,XRP,1521.14390021296
XRP,USDC,1.09904
USDC,XRP,0.9095622276998082
XRP,USDT,1.10028
USDT,XRP,0.9086200786864987
XRP,BTC,1.7548e-05
BTC,XRP,56976.810438151675
